Unnamed: 0,day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall,change_in_direction
0,1,4.274358644806853e-15,21.2,20.6,19.9,19.4,87.0,88.0,1.1,60.0,17.2,1,0.0
1,2,6.6058269965196814e-15,16.2,16.9,15.8,15.4,95.0,91.0,0.0,50.0,21.9,1,10.0
2,3,1.1546319456101628e-14,19.4,16.1,14.6,9.3,75.0,47.0,8.3,70.0,18.1,1,20.0
3,4,-1.6653345369377348e-16,18.1,17.8,16.9,16.8,95.0,95.0,0.0,60.0,35.6,1,10.0
4,5,9.048317650695026e-15,21.3,18.4,15.2,9.6,52.0,45.0,3.6,40.0,24.8,0,20.0
5,6,1.0047518372857667e-14,20.6,18.6,16.5,12.5,79.0,81.0,0.0,20.0,15.7,1,20.0
6,7,1.0158540675320182e-14,19.5,18.4,15.3,11.3,56.0,46.0,7.6,20.0,28.4,0,0.0
7,8,6.827871601444713e-15,15.8,13.6,12.7,11.8,96.0,100.0,0.0,50.0,52.8,1,30.0
8,9,4.274358644806853e-15,17.6,16.5,15.6,12.5,86.0,100.0,0.0,50.0,37.5,1,0.0
9,10,1.2934098236883074e-14,16.5,14.4,12.0,8.6,77.0,84.0,1.0,50.0,38.3,0,0.0
10,11,3.608224830031759e-15,16.3,15.3,14.1,14.0,97.0,100.0,0.0,40.0,24.4,1,10.0
11,12,-1.1657341758564144e-15,16.2,15.2,14.0,12.4,98.0,100.0,0.0,50.0,23.5,1,10.0
12,13,7.549516567451064e-15,15.0,15.5,13.2,12.0,77.0,86.0,0.0,50.0,32.4,1,0.0
13,14,-1.1657341758564144e-15,13.5,12.9,11.6,11.8,87.0,92.0,0.0,50.0,37.0,1,0.0
14,15,5.384581669432009e-15,17.8,16.5,15.1,12.1,77.0,85.0,1.2,40.0,20.9,1,10.0
15,16,1.176836406102666e-14,15.3,12.9,10.0,11.2,79.0,91.0,0.3,20.0,20.0,1,20.0
16,17,9.825473767932635e-15,16.3,13.1,11.4,2.0,79.0,70.0,6.8,20.0,30.3,1,0.0
17,18,2.248201624865942e-14,17.5,16.2,14.1,11.8,68.0,60.0,2.5,50.0,13.4,0,30.0
